university,faculty,major,course_code,course_name,component,credits,recommended_semester,prerequisite
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),GIG1012,Philosophy and Current Issues,University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),GLT1049,Malay Language Communication,University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),GIG1013,Appreciation of Ethics and Civilizations,University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),GIG1003,Basic Entrepreneurship Culture,University Course,2,3,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),GLTXXXX,English for Communication (1),University Course,2,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),GLTXXXX,English for Communication (2),University Course,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),Co-Curriculum (1),Co-Curriculum (1),University Course,2,4,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),Co-Curriculum (2),Co-Curriculum (2),University Course,2,7,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIX1001,Computing Mathematics I,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIX1002,Fundamentals of Programming,Faculty Core,5,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIX1003,Computer Systems and Organization,Faculty Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIX2001,Thinking and Communication Skills,Faculty Core,3,3,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIX2002,Project Management,Faculty Core,3,3,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),SHE Cluster 1,University Elective (Cluster 1) - Thinking Matters: Mind & Intellect,SHE Elective,2,4,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),SHE Cluster 2,University Elective (Cluster 2) - Technology/Artificial Intelligence and Data Analytics: i-Techie,SHE Elective,2,6,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),SHE Cluster 3,University Elective (Cluster 3) - Global Issues and Community Sustainability,SHE Elective,2,6,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),KIAR,Integrity and Anti-Corruption course,SHE Elective,2,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA1002,Data Structure,Programme Core,5,2,WIX1002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA1003,Computer System Architecture,Programme Core,3,2,WIX1003
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA1005,Network Technology Foundation,Programme Core,4,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA1006,Machine Learning,Programme Core,3,2,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA1007,Introduction to Data Science,Programme Core,3,1,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA2001,Database,Programme Core,3,3,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA2003,Probability and Statistics,Programme Core,3,3,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA2004,Operating Systems,Programme Core,4,4,None
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA2005,Algorithm Design and Analysis,Programme Core,4,4,WIA1002
Universiti Malaya (UM),Faculty of Computer Science & IT,Bachelor of Computer Science (Artificial Intelligence),WIA2006,System Analysis and Design,Programme Core,3,3,None
